종목코드,종목명,종가,대비,등락률,상장시가총액,지수명
344860,이노진,1601,58,3.76,19260.0,KRX TMI
347000,센코,2410,5,0.21,91124.0,KRX TMI
347740,피엔케이피부임상연구센타,2420,-75,-3.01,72626.0,KRX TMI
347770,핌스,2065,-45,-2.13,47200.0,KRX TMI
347860,알체라,2525,-175,-6.48,97745.0,KRX TMI
347890,엠엑스온,6150,110,1.82,104324.0,KRX TMI
348030,모비릭스,2370,-110,-4.44,22761.0,KRX TMI
348150,고바이오랩,5130,-190,-3.57,99619.0,KRX TMI
348350,위드텍,11690,640,5.79,116650.0,KRX TMI
351320,넥사다이내믹스,1312,-33,-2.45,38965.0,KRX TMI
351330,이삭엔지니어링,8030,60,0.75,66557.0,KRX TMI
351870,차이커뮤니케이션,4185,25,0.6,46707.0,KRX TMI
352090,스톰테크,3810,-55,-1.42,102386.0,KRX TMI
352700,씨앤투스,2065,-80,-3.73,54262.0,KRX TMI
352910,오비고,5500,-20,-0.36,69508.0,KRX TMI
352940,인바이오,2320,15,0.65,25213.0,KRX TMI
353190,휴럼,3280,80,2.5,25832.0,KRX TMI
353590,오토앤,3000,5,0.17,38627.0,KRX TMI
353810,이지바이오,7800,60,0.78,258039.0,KRX TMI
354200,엔젠바이오,1170,11,0.95,31367.0,KRX TMI
355390,크라우드웍스,3345,-80,-2.34,52105.0,KRX TMI
355690,에이텀,5220,-10,-0.19,28214.0,KRX TMI
356890,싸이버원,3785,-40,-1.05,45245.0,KRX TMI
357230,에이치피오,2900,110,3.94,119751.0,KRX TMI
357580,아모센스,23450,400,1.74,274777.0,KRX TMI
357880,SKAI,3175,-125,-3.79,164353.0,KRX TMI
359090,씨엔알리서치,773,1,0.13,44425.0,KRX TMI
360070,탑머티리얼,20400,100,0.49,166999.0,KRX TMI
360350,코셈,15010,10,0.07,85977.0,KRX TMI
361390,제노코,30200,750,2.55,293127.0,KRX TMI
